id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_934,"Triple Drop Heart Earrings","Triple drop rainbow hearts 
 
- Sterling Silver Hooks 
 
- Made with 100% cotton",https://hookedmcr.com/wp-content/uploads/2020/11/BF5FF7C3-D57D-404C-9849-64B515DC1A8F.jpeg,https://hookedmcr.com/product/triple-drop-heart-earrings/,"Accessories, All Items","hookedmcr.com",18GBP,in stock,wc_post_id_934,https://hookedmcr.com/cart/?add-to-cart=934,"https://hookedmcr.com/wp-content/uploads/2020/11/BCF5ACDB-7DCB-46A8-A0FD-2D91C90D64EE.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/C8908C82-A4AC-4B71-B428-9682E7E0C3C2.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18GBP,new,published,,
wc_post_id_943,"Single Heart Earrings","Single Heart Earrings",https://hookedmcr.com/wp-content/uploads/2020/11/BCF5ACDB-7DCB-46A8-A0FD-2D91C90D64EE.jpeg,https://hookedmcr.com/product/single-heart-earrings/,"Accessories, All Items","hookedmcr.com",7GBP,in stock,wc_post_id_941,https://hookedmcr.com/cart/?add-to-cart=941&variation_id=943&attribute_pa_colour=&attribute_pa_earrings=,"https://hookedmcr.com/wp-content/uploads/2020/11/06136E46-03E3-4CAE-8B53-9CF942B62CD1.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7GBP,new,published,,
wc_post_id_918,"Rainbow Scarf","Granny Square Scarf with Tassles 
 
- Made with 100% Cotton 
- 170cm long",https://hookedmcr.com/wp-content/uploads/2020/11/E82728E7-DB94-4066-BD41-F3838781F21D.jpeg,https://hookedmcr.com/product/rainbow-scarf/,"All Items, Customisable, Hats &amp; Scarves","hookedmcr.com",35GBP,in stock,wc_post_id_918,https://hookedmcr.com/cart/?add-to-cart=918,"https://hookedmcr.com/wp-content/uploads/2020/11/C26B508B-7061-43F1-9232-8D8D3F1BCFE0.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/95CBAA48-0174-451C-A56F-7EAF92139273.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/93A85C2A-B7D4-496C-BD8E-0DF309D4D058-e1605096226864.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,35GBP,new,published,,
wc_post_id_915,"Rainbow Sweater Vest","Size: Large",https://hookedmcr.com/wp-content/uploads/2020/11/516885DD-4246-4421-B27B-F8CBC2CB8F7C-e1604753712259.jpeg,https://hookedmcr.com/product/rainbow-sweater-vest/?attribute_pa_size=large,"All Items, Clothing","hookedmcr.com",70GBP,in stock,wc_post_id_906,https://hookedmcr.com/cart/?add-to-cart=906&variation_id=915&attribute_pa_size=large,"https://hookedmcr.com/wp-content/uploads/2020/11/F0BA745A-FA11-41B6-A9BA-8EE215662B26-e1604753730317.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/AB21B9F9-8218-4384-9438-20CDA103D555-e1604753746245.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/4D04DDA5-A227-4646-8E92-2FC309D871AC-e1604753761645.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,70GBP,new,staging,,"size:X-Small/Small/Medium/Large:Large"
wc_post_id_914,"Rainbow Sweater Vest","Size: Medium",https://hookedmcr.com/wp-content/uploads/2020/11/516885DD-4246-4421-B27B-F8CBC2CB8F7C-e1604753712259.jpeg,https://hookedmcr.com/product/rainbow-sweater-vest/?attribute_pa_size=medium,"All Items, Clothing","hookedmcr.com",70GBP,in stock,wc_post_id_906,https://hookedmcr.com/cart/?add-to-cart=906&variation_id=914&attribute_pa_size=medium,"https://hookedmcr.com/wp-content/uploads/2020/11/F0BA745A-FA11-41B6-A9BA-8EE215662B26-e1604753730317.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/AB21B9F9-8218-4384-9438-20CDA103D555-e1604753746245.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/4D04DDA5-A227-4646-8E92-2FC309D871AC-e1604753761645.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,70GBP,new,staging,,"size:X-Small/Small/Medium/Large:Medium"
wc_post_id_913,"Rainbow Sweater Vest","Size: Small",https://hookedmcr.com/wp-content/uploads/2020/11/516885DD-4246-4421-B27B-F8CBC2CB8F7C-e1604753712259.jpeg,https://hookedmcr.com/product/rainbow-sweater-vest/?attribute_pa_size=small,"All Items, Clothing","hookedmcr.com",70GBP,in stock,wc_post_id_906,https://hookedmcr.com/cart/?add-to-cart=906&variation_id=913&attribute_pa_size=small,"https://hookedmcr.com/wp-content/uploads/2020/11/F0BA745A-FA11-41B6-A9BA-8EE215662B26-e1604753730317.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/AB21B9F9-8218-4384-9438-20CDA103D555-e1604753746245.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/4D04DDA5-A227-4646-8E92-2FC309D871AC-e1604753761645.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,70GBP,new,staging,,"size:X-Small/Small/Medium/Large:Small"
wc_post_id_912,"Rainbow Sweater Vest","Size: X-Small",https://hookedmcr.com/wp-content/uploads/2020/11/516885DD-4246-4421-B27B-F8CBC2CB8F7C-e1604753712259.jpeg,https://hookedmcr.com/product/rainbow-sweater-vest/?attribute_pa_size=xsmall,"All Items, Clothing","hookedmcr.com",70GBP,in stock,wc_post_id_906,https://hookedmcr.com/cart/?add-to-cart=906&variation_id=912&attribute_pa_size=xsmall,"https://hookedmcr.com/wp-content/uploads/2020/11/F0BA745A-FA11-41B6-A9BA-8EE215662B26-e1604753730317.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/AB21B9F9-8218-4384-9438-20CDA103D555-e1604753746245.jpeg,https://hookedmcr.com/wp-content/uploads/2020/11/4D04DDA5-A227-4646-8E92-2FC309D871AC-e1604753761645.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,70GBP,new,staging,,"size:X-Small/Small/Medium/Large:X-Small"
wc_post_id_827,"Sunburst Backpack","- Made with 100% cotton 
 
- Black cotton lining 
 
- Drawstring closure 
 
- Length 11”, Width 9” 
 
- Straps 24” 
 
*colour combinations may differ from photo*",https://hookedmcr.com/wp-content/uploads/2020/10/52EA4F0A-5BE5-4571-B419-F5D95163CBFC-e1603190809635.jpeg,https://hookedmcr.com/product/sunburst-backpack/,"All Items, Bags","hookedmcr.com",50GBP,in stock,wc_post_id_827,https://hookedmcr.com/cart/?add-to-cart=827,"https://hookedmcr.com/wp-content/uploads/2020/10/6A4F30B5-0CFE-4ECE-BFD2-8DCA31FCE072-e1603190816556.jpeg,https://hookedmcr.com/wp-content/uploads/2020/10/D4B2D3E4-535B-4DF9-B324-FD89C4BAFEA5-e1603190800747.jpeg,https://hookedmcr.com/wp-content/uploads/2020/10/13E91C78-F2CC-422B-B25F-4D08EC048360-e1603190791396.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50GBP,new,published,,
wc_post_id_835,"Sunburst Tote Bag","- Made with 100% cotton 
 
- Black cotton lining 
 
- Length 14.5”, Width 14” 
 
*colour combinations may differ from photo*",https://hookedmcr.com/wp-content/uploads/2020/10/F6607FB1-0B01-48B1-86FF-88CF058BC300-e1603190827167.jpeg,https://hookedmcr.com/product/sunburst-tote-bag/,"All Items, Bags","hookedmcr.com",60GBP,in stock,wc_post_id_835,https://hookedmcr.com/cart/?add-to-cart=835,"https://hookedmcr.com/wp-content/uploads/2020/10/E28A6A2C-E383-4BA8-8657-C41C95294379-e1603190836243.jpeg,https://hookedmcr.com/wp-content/uploads/2020/10/64C79512-4F1E-4807-BDF2-2C701203AF97.jpeg,https://hookedmcr.com/wp-content/uploads/2020/10/F77C0855-3580-40CE-96EF-2E93FC28D8F3.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,60GBP,new,published,,
wc_post_id_819,"Fluffy Scarf","Scarf made from a Alpaca and Wool mix yarn. Soft, cosy & cute! 
 
- One size",https://hookedmcr.com/wp-content/uploads/2020/10/24B95FC8-8074-47C7-BE7F-D12ED48B2B25.jpeg,https://hookedmcr.com/product/fluffy-scarf/,"All Items, Customisable, Hats &amp; Scarves","hookedmcr.com",45GBP,in stock,wc_post_id_819,https://hookedmcr.com/cart/?add-to-cart=819,"https://hookedmcr.com/wp-content/uploads/2020/10/A53FDE3D-464E-4646-B247-47864A2D2C43.jpeg,https://hookedmcr.com/wp-content/uploads/2020/10/ED29D6C6-EDA0-4218-9D1F-20F36BB0A919.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,45GBP,new,published,,
wc_post_id_816,"Fluffy Bucket Hat - Pink","Bucket hat made from a Alpaca and Wool mix yarn. Soft, cosy & cute! 
 
- One size fits most",https://hookedmcr.com/wp-content/uploads/2020/10/2BC42A5B-DA67-450D-A639-E68746745B85-e1602266917588.jpeg,https://hookedmcr.com/product/fluffy-bucket-hat-pink/,"All Items, Customisable, Hats &amp; Scarves","hookedmcr.com",30GBP,in stock,wc_post_id_816,https://hookedmcr.com/cart/?add-to-cart=816,"https://hookedmcr.com/wp-content/uploads/2020/10/19297E0E-DA5D-46E5-A5F3-133877F4485B.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30GBP,new,published,,
wc_post_id_812,"Fluffy Bucket Hat - Teal","Bucket hat made from a Alpaca and Wool mix yarn. Soft, cosy & cute! 
 
- One size fits most",https://hookedmcr.com/wp-content/uploads/2020/10/809B8FBC-1A33-4F6D-B3ED-D073C04CEE41-e1602266842308.jpeg,https://hookedmcr.com/product/fluffy-bucket-hat-teal/,"All Items, Customisable, Hats &amp; Scarves","hookedmcr.com",30GBP,in stock,wc_post_id_812,https://hookedmcr.com/cart/?add-to-cart=812,"https://hookedmcr.com/wp-content/uploads/2020/10/C2F2E519-2B7F-4A30-8305-20A100117889.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30GBP,new,published,,
wc_post_id_798,"Fluffy Bucket Hat - Yellow","Bucket hat made from a Alpaca and Wool mix yarn. Soft, cosy & cute! 
 
- One size fits most",https://hookedmcr.com/wp-content/uploads/2020/10/E0389780-A06E-4885-9BCD-7FE306A35F8B-e1602267107795.jpeg,https://hookedmcr.com/product/fluffy-bucket-hat/,"All Items, Customisable, Hats &amp; Scarves","hookedmcr.com",30GBP,in stock,wc_post_id_798,https://hookedmcr.com/cart/?add-to-cart=798,"https://hookedmcr.com/wp-content/uploads/2020/10/DBC01509-F4E5-410F-961A-FCBEAE574A4E.jpeg,https://hookedmcr.com/wp-content/uploads/2020/10/53EC38D0-89EB-423D-A24F-ECFE48923FD2.jpeg,https://hookedmcr.com/wp-content/uploads/2020/10/D6FDC4DC-7252-46E9-B57B-69111EE45EE0.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30GBP,new,published,,
wc_post_id_751,"Custom Order","Custom Order",https://hookedmcr.com/wp-content/uploads/2020/09/Custom.jpg,https://hookedmcr.com/product/custom-order/,"Accessories, All Items, Bags, Customisable, Hats &amp; Scarves","hookedmcr.com",0GBP,in stock,wc_post_id_751,https://hookedmcr.com/cart/?add-to-cart=751,"https://hookedmcr.com/wp-content/uploads/2020/09/image00017.jpeg,https://hookedmcr.com/wp-content/uploads/2020/09/image00013.jpeg,https://hookedmcr.com/wp-content/uploads/2020/09/image00019.jpeg,https://hookedmcr.com/wp-content/uploads/2020/09/image00010-scaled.jpeg,https://hookedmcr.com/wp-content/uploads/2020/09/image00002-scaled.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0GBP,new,published,,
wc_post_id_741,"Large Daisy Backpack","Large Daisy Backpack",https://hookedmcr.com/wp-content/uploads/2020/09/IMG_1502-3-1-scaled.jpg,https://hookedmcr.com/product/large-daisy-backpack/,"All Items, Bags","hookedmcr.com",70GBP,in stock,wc_post_id_741,https://hookedmcr.com/cart/?add-to-cart=741,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,70GBP,new,published,,
wc_post_id_737,"Small Daisy Backpack","Small Daisy Backpack",https://hookedmcr.com/wp-content/uploads/2020/09/IMG_1503-1-scaled.jpg,https://hookedmcr.com/product/small-daisy-backpack/,"All Items, Bags","hookedmcr.com",50GBP,in stock,wc_post_id_737,https://hookedmcr.com/cart/?add-to-cart=737,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50GBP,new,published,,
wc_post_id_735,"Sunflower Bucket Hat","Sunflower Bucket Hat",https://hookedmcr.com/wp-content/uploads/2020/09/B93E4CE0-63C5-41E1-8EA0-C9039A46F6A7.jpeg,https://hookedmcr.com/product/sunflower-bucket-hat/,"All Items, Customisable, Hats &amp; Scarves","hookedmcr.com",45GBP,in stock,wc_post_id_735,https://hookedmcr.com/cart/?add-to-cart=735,"https://hookedmcr.com/wp-content/uploads/2020/09/413CAC6D-E111-4A0A-A7C0-8E7EADDDDCAA.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,45GBP,new,published,,
wc_post_id_725,"Small Sunflower Earrings","Small Sunflower Earrings",https://hookedmcr.com/wp-content/uploads/2020/09/IMG_1501-scaled.jpg,https://hookedmcr.com/product/small-sunflower-earrings/,"Accessories, All Items","hookedmcr.com",10GBP,in stock,wc_post_id_725,https://hookedmcr.com/cart/?add-to-cart=725,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,10GBP,new,published,,
wc_post_id_724,"Large Sunflower Earrings","Large Sunflower Earrings",https://hookedmcr.com/wp-content/uploads/2020/09/IMG_1501-scaled.jpg,https://hookedmcr.com/product/large-sunflower-earrings/,"Accessories, All Items","hookedmcr.com",15GBP,in stock,wc_post_id_724,https://hookedmcr.com/cart/?add-to-cart=724,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15GBP,new,published,,
wc_post_id_723,"Small Daisy Earrings","Small Daisy Earrings",https://hookedmcr.com/wp-content/uploads/2020/09/IMG_1415.jpg,https://hookedmcr.com/product/small-daisy-earrings/,"Accessories, All Items, Customisable","hookedmcr.com",10GBP,in stock,wc_post_id_723,https://hookedmcr.com/cart/?add-to-cart=723,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,10GBP,new,published,,
wc_post_id_722,"Large Daisy Earrings","Large Daisy Earrings",https://hookedmcr.com/wp-content/uploads/2020/09/IMG_1407.jpeg,https://hookedmcr.com/product/large-daisy-earrings/,"Accessories, All Items, Customisable","hookedmcr.com",15GBP,in stock,wc_post_id_722,https://hookedmcr.com/cart/?add-to-cart=722,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15GBP,new,published,,
